"PlotID","Species","Count"
"C1030C","NONE",NA
"C1030T","NONE",NA
"C1031T","NONE",NA
"C1026C","NONE",NA
"C1026T","NONE",NA
"C1023C","NONE",NA
"C1023T","NONE",NA
"C1020C","NONE",NA
"C1020T","NONE",NA
"C1032T","PIPJ",1
"C1032C","NONE",NA
"C1029T","UNKNOWNCONIFER",4
"C1029C","NONE",NA
"C1031C","NONE",NA
"C1040T","NONE",NA
"A4013C","NONE",NA
"A4013T","NONE",NA
"A4060C","NONE",NA
"A4060T","NONE",NA
"A4014C","NONE",NA
"A4014T","NONE",NA
"A4022C","NONE",NA
"B1003T","NONE",NA
"B1018C","NONE",NA
"B1018T","PIPJ",2
"B1016C","NONE",NA
"D1000C","NONE",NA
"D1001T","NONE",NA
"D1001C","NONE",NA
"D1013C","NONE",NA
"D1018T","NONE",NA
"D1018C","NONE",NA
"D1013T","NONE",NA
"D1005T","NONE",NA
"D1005C","NONE",NA
"B1019C","NONE",NA
"B1019T","NONE",NA
"B1014T","NONE",NA
"B1009T","NONE",NA
"D1010C","NONE",NA
"A4017C","NONE",NA
"A4017T","NONE",NA
"A4025T","NONE",NA
"A4025C","NONE",NA
"A4057C","NONE",NA
"A4057T","NONE",NA
"C2001C","PIPJ",1
"C2001T","NONE",NA
"C2006C","NONE",NA
"C2006T","NONE",NA
"A1157T","PIPJ",3
"A4022T","NONE",NA
"A4168C","NONE",NA
"A4168T","NONE",NA
"A4172C","NONE",NA
"A4172T","NONE",NA
"A4176C","NONE",NA
"A4176T","NONE",NA
"A4177T","NONE",NA
"B1015C","NONE",NA
"B1015T","QUKE",1
"D1017C","NONE",NA
"D1017T","NONE",NA
"D1025C","NONE",NA
"D1025T","NONE",NA
"D1097C","NONE",NA
"D1006C","NONE",NA
"D1006T","NONE",NA
"D1008T","NONE",NA
"D1009T","NONE",NA
"B1014T","NONE",NA
"B1009C","NONE",NA
"D1010T","NONE",NA
"E0039I","NONE",NA
"E0046I","NONE",NA
"E0051I","NONE",NA
"E0049I","NONE",NA
"E0052I","NONE",NA
"E0043I","NONE",NA
"E0087C","NONE",NA
"E0090T","NONE",NA
"E0090C","NONE",NA
"E0087T","NONE",NA
"E0078T","NONE",NA
"E0078C","NONE",NA
"E0072T","NONE",NA
"E0072C","NONE",NA
"E2001I","NONE",NA
"E0063I","NONE",NA
"E0062I","NONE",NA
"E0060I","NONE",NA
"E0065I","NONE",NA
"E0066I","NONE",NA
"E0061I","NONE",NA
"E0055I","NONE",NA
"E0050I","NONE",NA
"E0064I","NONE",NA
"E0068T","NONE",NA
"E0069T","NONE",NA
"E0069C","NONE",NA
"E0068C","NONE",NA
"E0045I","NONE",NA
"A1140C","PIPJ",1
"A2025T","NONE",NA
"A2025C","NONE",NA
"A2026T","NONE",NA
"A2026C","NONE",NA
"A2029T","NONE",NA
"A2029C","NONE",NA
"A2030C","NONE",NA
"A2030T","SNAG",1
"A2031T","NONE",NA
"A2031C","NONE",NA
"A2035T","NONE",NA
"A2035C","NONE",NA
"A2039T","NONE",NA
"A2039C","NONE",NA
"A2040T","NONE",NA
"A2040C","NONE",NA
"A2041T","NONE",NA
"A2041C","NONE",NA
"A4247C","NONE",NA
"A4245T","NONE",NA
"A4245C","NONE",NA
"A4205I","NONE",NA
"A4203I","NONE",NA
"A4204I","NONE",NA
"A4277C","NONE",NA
"A4249T","PIPJ",1
"A4249C","NONE",NA
"B1026C","PIPO",2
"B1023T","NONE",NA
"B1026T","NONE",NA
"B1024T","NONE",NA
"B1024C","NONE",NA
"A1157T","NONE",NA
"A1157C","NONE",NA
"B1022T","NONE",NA
"B1004C","NONE",NA
"B1004T","PIPJ",1
"B1025C","PIPJ",1
"B1022C","PIPJ",2
"A1147T","PIPO",1
"B1023C","PIPO",1
"A1041T","NONE",NA
"A4247T","NONE",NA
"A4248C","NONE",NA
"A4248T","NONE",NA
"A4167C","NONE",NA
"A4167T","NONE",NA
"A4012C","NONE",NA
"A4012T","NONE",NA
"B1002C","NONE",NA
"B1002T","PIPJ",1
"B1003C","NONE",NA
"B1017C","NONE",NA
"B1017T","NONE",NA
"B1021C","NONE",NA
"B1021T","NONE",NA
"D1016T","NONE",NA
"D1016C","NONE",NA
"D1000T","NONE",NA
"D1092T","NONE",NA
"D1092C","NONE",NA
"D1099T","NONE",NA
"B1007T","NONE",NA
"B1007C","NONE",NA
"B1008C","NONE",NA
"B1008T","NONE",NA
"D1011C","NONE",NA
"E0048I","NONE",NA
"C2010C","NONE",NA
"C2013T","NONE",NA
"C2012T","NONE",NA
"C2011T","NONE",NA
"E0059I","NONE",NA
"E0054I","NONE",NA
"B1016T","NONE",NA
"B1020C","NONE",NA
"B1020T","NONE",NA
"D1012T","ABMA",2
"D1012C","NONE",NA
"D1099C","NONE",NA
"D1007T","NONE",NA
"D1007C","NONE",NA
"D1097T","PIPJ",1
"D1009C","NONE",NA
"D1008C","NONE",NA
"D1011T","NONE",NA
"D1100T","NONE",NA
"E0047I","PIPJ",1
"E0041I","NONE",NA
"E0040I","NONE",NA
"C2014T","NONE",NA
"C2014C","NONE",NA
"C2015T","NONE",NA
"C2015C","NONE",NA
"C2011C","NONE",NA
"C2012C","NONE",NA
"C2013C","NONE",NA
"C2010T","NONE",NA
"C1040C","NONE",NA
"E0038I","NONE",NA
"E0032I","NONE",NA
