"PlotID","mean_planted_density"
"E0072T",155
"E0078T",155
"E0087T",155
"E0090T",155
"E0068T",155
"E0069T",155
"B1003T",151
"B1002T",151
"B1004T",151
"B1025T",480
"B1022T",200
"B1023T",393
"B1024T",393
"B1026T",393
"B1009T",305
"B1014T",305
"B1021T",163
"B1018T",408
"B1019T",408
"B1015T",408
"B1007T",408
"B1008T",408
"B1017T",408
"B1016T",408
"B1020T",408
"A4177T",100
"A4247T",155
"A4248T",155
"A1147T",160
"A1157T",160
"A2039T",184
"A2040T",184
"A2041T",184
"A4249T",184
"A2035T",100
"A4245T",100
"A2029T",100
"A2030T",100
"A2031T",100
"A1140T",100
"A4176T",100
"A4013T",100
"A4012T",100
"A4172T",100
"A2025T",100
"A2026T",115
"A1096T",211
"A4167T",211
"A4168T",100
"A1041T",100
"A4060T",100
"A4057T",100
"A4025T",100
"A4022T",100
"A4017T",100
"A4014T",100
"C1020T",197
"C1023T",197
"C1026T",197
"C2011T",311.078947368421
"C2012T",311.078947368421
"C2013T",311.078947368421
"C2015T",311.078947368421
"C1040T",341.326923076923
"C2014T",341.326923076923
"C2010T",298
"C1029T",437
"C1030T",437
"C1031T",437
"C1032T",437
"C2006T",164
"C2001T",316.923076923077
"D1013T",490
"D1018T",490
"D1017T",490
"D1016T",490
"D1099T",490
"D1097T",490
"D1005T",340
"D1006T",340
"D1008T",340
"D1009T",340
"D1010T",340
"D1012T",340
"D1007T",340
"D1011T",340
"D1092T",490
"D1100T",490
"D1001T",340
"D1025T",340
"D1000T",340
