plot,fire,ctl_trt,shrub
A1041T,Moontelope,T,80
A1140T,Moontelope,T,90
A1147T,Moontelope,T,70
A1147C,Moontelope,C,90
A1041C,Moontelope,C,0.5
A1096T,Moontelope,T,90
A1157C,Moontelope,C,100
A1157T,Moontelope,T,60
A1096C,Moontelope,C,90
B1024C,Power,C,80
B1023T,Power,T,60
B1023C,Power,C,95
B1024T,Power,T,20
B1022C,Power,C,90
B1025T,Power,T,60
B1025C,Power,C,70
B1004T,Power,T,20
B1004C,Power,C,70
B1022T`,Power,T,95
B1026T,Power,T,95
B1026C,Power,C,90
C1030C,AmRiv,C,80
C1030T,AmRiv,T,60
C1031T,AmRiv,T,60
C1026C,AmRiv,C,60
c1026t,amriv,t,50
c1023c,amriv,c,95
c1023t,amriv,t,70
c1020c,amriv,c,60
c1020t,amriv,t,70
c1032t,amriv,t,90
c1032c,amriv,c,90
c1029t,amriv,t,70
c1029c,amriv,c,80
c1031c,amriv,c,95
c1040t,amriv,t,100
