"","Estimate","Std. Error","df","t value","Pr(>|t|)","Vars"
"1",4.94053737055511,0.334566336000897,72.3205381079953,14.7669889015429,1.58746752361163e-23,"(Intercept)"
"2",-0.198222477731733,0.0718958537410543,99.2861311894064,-2.75707801517549,0.00694177870627127,"Topographic Position Index 2000"
"3",0.368650083520306,0.13168137324484,4.55939197363619,2.79956135356261,0.0421242551613566,"Elevation"
"4",0.990138781394171,0.34220486506896,174.685401821097,2.89340942360548,0.00429635760177885,"%Shrubs"
"5",-0.349858436241229,0.117202462375889,134.151534539293,-2.98507752438827,0.00337028968493645,"Year Planted"
"6",-1.74995292369726,0.374364437688423,91.2820301107164,-4.67446356417465,1.01410224588853e-05,"Plantingunplanted"
"7",0.0867663477252796,0.146282097087955,4.58263942817765,0.593143996787997,0.5811351104977,"Min. Annual Temp."
"8",0.082475797102073,0.148355764794969,9.75319742218879,0.555932539703169,0.590781100962858,"Normal Annual Precipitation"
"9",-0.231516041400275,0.0640135063799979,149.28685335673,-3.61667489398169,0.000407588259799711,"Seed Source"
"10",0.25635367279658,0.0671464876910365,158.700008352883,3.81782698711136,0.000192669623726611,"Litter + Duff Depth"
"11",-0.182605409954453,0.0620762203842535,115.713516466093,-2.9416322196184,0.00394455331601817,"Topographic Position Index 2000:Elevation"
"12",-0.454934333197484,0.133080691601319,177.239950209658,-3.41848488855445,0.000781267183609051,"%Shrubs:Year Planted"
"13",-1.15469897248429,0.474050383382972,171.092700403206,-2.43581486896815,0.0158840549752888,"%Shrubs:Plantingunplanted"
"14",0.40259570440325,0.147571849023714,91.3539209338681,2.72813349610165,0.00763881704611194,"Year Planted:Plantingunplanted"
"15",1.16013387397672,0.179503640869342,90.3126852514636,6.46301026741382,5.10444053097698e-09,"Min. Annual Temp.:Normal Annual Precipitation"
"16",0.428695323531477,0.182807839555384,173.065457432828,2.34505984302494,0.0201579505513396,"%Shrubs:Year Planted:Plantingunplanted"
